Company Name	API ID
"NOMURA HOLDINGS, INC"	N33:SGX
NORDIC GROUP LIMITED	MR7:SGX
NOVO GROUP LTD.	MR8:SGX
NSL LTD.	N02:SGX
NTEGRATOR INTERNATIONAL LTD	5HC:CATALIST
OCEAN SKY INTERNATIONAL LTD	O05:SGX
OCEANUS GROUP LIMITED	579:SGX
OEL (HOLDINGS) LIMITED	584:CATALIST
OKH GLOBAL LTD.	S3N:SGX
OKP HOLDINGS LIMITED	5CF:SGX
OLAM INTERNATIONAL LIMITED	O32:SGX
OLD CHANG KEE LTD.	5ML:CATALIST
ONIONTECH LIMITED	5HG:CATALIST
ORIENTAL GROUP LTD.	5FI:CATALIST
OSIM INTERNATIONAL LTD	O23:SGX
OSSIA INTERNATIONAL LTD	O08:SGX
OTTO MARINE LIMITED	G4F:SGX
OUE COMMERCIAL REIT	TS0U:SGX
OUE HOSPITALITY TRUST	SK7:SGX
OUE LIMITED	LJ3:SGX
OUHUA ENERGY HOLDINGS LIMITED	AJ2:SGX
OVERSEA-CHINESE BANKING CORP	O39:SGX
OVERSEAS EDUCATION LIMITED	RQ1:SGX
OXLEY HOLDINGS LIMITED	5UX:SGX
P99 HOLDINGS LIMITED	5UV:CATALIST
PACC OFFSHORE SVCS HLDG LTD.	U6C:SGX
PACIFIC ANDES RESOURCES DEVLTD	P11:SGX
PACIFIC CENTURY REGIONAL DEVTS	P15:SGX
PACIFIC HEALTHCARE HLDGS LTD	P47:SGX
PACIFIC RADIANCE LTD.	T8V:SGX
PAN ASIAN HOLDINGS LIMITED	5EW:CATALIST
PAN HONG PROPERTY GROUP LTD	P36:SGX
"PAN OCEAN CO., LTD."	TO9:SGX
PAN-UNITED CORPORATION LTD	P52:SGX
PARKSON RETAIL ASIA LIMITED	O9E:SGX
PARKWAYLIFE REIT	C2PU:SGX
PAVILLON HOLDINGS LTD.	596:SGX
PCI LTD	P19:SGX
PEC LTD.	IX2:SGX
PENGUIN INTERNATIONAL LIMITED	P13:SGX
PERENNIAL CHINA RETAIL TRUST	N9LU:SGX
PETRA FOODS LIMITED	P34:SGX
PHARMESIS INTERNATIONAL LTD.	P31:SGX
PLASTOFORM HOLDINGS LIMITED	P82:SGX
