Company Name,Stock Code:Market,ISIN Code,HP Short Name
DARCO WATER TECHNOLOGIES LTD,5CB:SGX,SG1M47904586,Darco Water Tech
ROWSLEY LTD.,A50:SGX,SG1M49904634,Rowsley
CAPITAMALL TRUST,C38U:SGX,SG1M51904654,CapitaMall Trust
M DEVELOPMENT LTD.,N14:SGX,SG1M54904800,M Development
OKP HOLDINGS LIMITED,5CF:SGX,SG1M55904841,OKP
LUNG KEE (BERMUDA) HLDGS LTD,L09:SGX,BMG5697D1011,Lung Kee Bermuda
CORTINA HOLDINGS LIMITED,C41:SGX,SG1M59904946,Cortina
ASCENDAS REAL ESTATE INV TRUST,A17U:SGX,SG1M77906915,Ascendas Reit
OCEANUS GROUP LIMITED,579:SGX,SG1M80907371,Oceanus
ALIBABA PICTURES GROUP LIMITED,S91:SGX,BMG215A31092,AliPictures2kHKD
LOTTVISION LIMITED,M22:SGX,BMG5655Q1024,LottVision
CHEUNG WOH TECHNOLOGIES LTD,C50:SGX,SG1M94907805,Cheung Woh
DMX TECHNOLOGIES GROUP LTD,5CH:SGX,BMG278221087,DMX Technologies
CHINESE GLOBAL INVESTORS GRP,5CJ:CATALIST,SG1N00908623,Chinese Global
GKE CORPORATION LIMITED,595:CATALIST,SG1N09908665,GKE
SINWA LIMITED,5CN:SGX,SG1N21908982,Sinwa
CH OFFSHORE LTD,C13:SGX,SG1N22909146,CH Offshore
SILVERLAKE AXIS LTD,5CP:SGX,BMG8226U1071,Silverlake Axis
ASL MARINE HOLDINGS LTD,A04:SGX,SG1N25909283,ASL Marine
MDR LIMITED,A27:SGX,SG1N26909308,MDR
OCEAN SKY INTERNATIONAL LTD,O05:SGX,SG1N28909355,Ocean Sky Intl
COMFORTDELGRO CORPORATION LTD,C52:SGX,SG1N31909426,ComfortDelGro
TECHNICS OIL & GAS LIMITED,5CQ:SGX,SG1N85910015,Tech Oil & Gas
ASIATIC GROUP (HOLDINGS) LTD,5CR:CATALIST,SG1N86910089,Asiatic
ECOWISE HOLDINGS LIMITED,5CT:SGX,SG1N88910129,EcoWise
SINGAPORE POST LIMITED,S08:SGX,SG1N89910219,SingPost
BREADTALK GROUP LIMITED,5DA:SGX,SG1O02910816,BreadTalk
FULL APEX (HOLDINGS) LIMITED,F18:SGX,BMG3687W1064,Full Apex
ALLIED TECHNOLOGIES LIMITED,A13:SGX,SG1O07910928,Allied Tech^
MICRO-MECHANICS (HOLDINGS) LTD,5DD:SGX,SG1O09910991,Micro-Mechanics
EMS ENERGY LIMITED,5DE:CATALIST,SG1O10911046,EMS Energy
KOON HOLDINGS LIMITED,5DL:SGX,SG1O23911876,Koon
YING LI INTL REAL ESTATE LTD,5DM:SGX,SG1O24911883,Ying Li Intl
FORTUNE REAL ESTATE INV TRUST,F25U:SGX,SG1O33912138,Fortune Reit HKD
EZRA HOLDINGS LIMITED,5DN:SGX,SG1O34912152,Ezra
GSH CORPORATION LIMITED,J16:SGX,SG1O38912554,GSH
SAKAE HOLDINGS LTD.,5DO:SGX,SG1O42912715,Sakae
HEETON HOLDINGS LIMITED,5DP:SGX,SG1O44912994,Heeton
ANNAIK LIMITED,A52:SGX,SG1O45913009,AnnAik
A-SONIC AEROSPACE LIMITED,A53:SGX,SG1O47913080,A-Sonic Aero
STAMFORD TYRES CORPORATIONLTD,S29:SGX,SG1O53913362,Stamford Tyres
